Central Rivers Area Education Agency,https://indeed.com/rc/clk?jk=4920aada6c7b1c1f&bb=JbJNVPwBmTjkUjgGg5ipQvxRS9bcOmqlCvo3yb6KaGVQvU4LjUcdyqfZp2FYI7LR14NLEHrMUTt68mUTAA6Q13Z18Ba6SwXddbVPNTuLCEqCsiJ7CC05eodzuSIaAtobD2qaiXmwJ-IM8xFIS8GF7g%3D%3D&xkcb=SoCb67M3sDTUbfg8-z0CbzkdCdPP&fccid=7b9c0639e31f1ce4&cmp=Central-Rivers-Area-Education-Agency&ti=Ai+Architect&vjs=3,,,65,Assistive Technology & Artificial Intelligence Specialist,"$75,000 - $100,000 a year - Full-time","Central Rivers Area Education Agency
4.0
4.0 out of 5 stars
1521 Technology Parkway, Cedar Falls, IA 50613
Hybrid work","Benefits
Pulled from the full job description
Health insurance
Retirement plan
Paid time off
Vision insurance
Health savings account
Dental insurance
Employee assistance program
&nbsp;","Job Goal: To provide leadership, consultation, and coaching in the effective integration of Assistive Technology (AT) and Artificial Intelligence (AI) into instructional practices, ensuring equitable access, student success, and compliance with IDEA, FAPE, and UDL principles. The specialist will also lead the development of organizational policies and guidelines for the ethical and effective use of AT and AI, with specific attention to protecting the privacy and security standards of K–12 educational institutions. In addition, the specialist will design, facilitate, and deliver trainings that build the capacity of both internal and external clients to confidently and responsibly leverage these tools.

Qualifications

Strong knowledge of the process to determine AT needs (e.g. SETT framework) and ability to apply supports across the universal tier, plus tier 2 and tier 3 interventions
Understanding of services and eligibility in Iowa
General to expert knowledge in Assistive Technology, or a demonstrated willingness to learn, communicate effectively, and move teams toward successful outcomes
Knowledge of Specially Designed Instruction (SDI), Individuals with Disabilities Education Act (IDEA), Free and Appropriate Public Education (FAPE), Least Restrictive Environment (LRE), and Universal Design for Learning (UDL), or willingness to learn
Knowledge of accessibility features, and assistive equipment, with recognition that the field is continually evolving and knowledge of or willingness to learn the IEP system for appropriate documentation
Understanding of Artificial Intelligence applications in education and their implications for instruction, student learning, and organizational efficiency
Awareness of AI ethics, equity, bias, and data privacy considerations in K-12 settings
Experience or interest in helping staff leverage AI to create efficiencies in lesson design, data analysis, workflow management, organizational policy, and communication
Knowledge of adult learning theory and the ability to apply it when designing and facilitating professional learning for educators and staff
Such alternatives to the above qualifications as the Board may find appropriate and acceptable

Required Skills and Abilities (or demonstrated willingness to develop these skills):

Ability to apply Assistive Technology (AT) practices across universal, targeted, and intensive levels of support, with strong coaching skills to guide educators in implementation.
Skilled in evaluating, piloting, and scaling Artificial Intelligence (AI) tools for instruction, accessibility, and operational efficiency.
Ability to explain complex AT and AI concepts in clear, practical terms for educators and staff.
Capable of guiding the ethical, equitable, and responsible use of AT and AI in schools.
Effective verbal, written, and digital communication skills, including the ability to convey ideas positively and make professional presentations.
Ability to network and build professional relationships that strengthen partnerships across districts and agencies.
Ability to design, develop, and deliver high-quality professional development.
Strong facilitation skills and the ability to lead discussions and collaborative decision-making processes.
Strong problem-solving and collaboration skills.
Excellent organizational and analytical skills with close attention to detail.
Adaptable and flexible in dynamic situations, with a demonstrated commitment to continual learning and staying current with research and practice in AT and AI.
Creativity and the ability to design innovative solutions.

Terms of Employment: Twelve months, with salary and work year to be established by the Board.

As part of the role, the candidate will complete required professional learning in Assistive Technology and Artificial Intelligence applications in education, with completion of these trainings—or demonstration of equivalent prior certification—required within the first year of employment, as determined by the Board. This includes:

ISTE “AI Deep Dive for Educators” Course (or equivalent) – demonstrating the ability to apply AI concepts and tools in curriculum, instruction, and assessment.
CoSN Student Data Privacy Course (or equivalent) – focusing on privacy, ethics, and compliance in relation to K–12 student data.
AI+ Educator Certification (or equivalent) – emphasizing the integration of AI into teaching and learning practices.

Job Type: Full-time

Pay: $75,000.00 - $100,000.00 per year

Benefits:

Dental insurance
Employee assistance program
Health insurance
Health savings account
Paid time off
Retirement plan
Vision insurance

Work Location: Hybrid remote in Cedar Falls, IA 50613"
Comtec Information Systems,https://indeed.com/rc/clk?jk=478a44cc117388b5&bb=DunzpjvOJANu5Bt_vpq-dWGTy6FdKXVyY3kFtfxUeXCdXmQQnseFAdO9xF_3sUiEuuW6cKZguFRcz6YVbGx9f-0ek08vi2ou7Y3h4b8WUMKwgPW2bb71Fh7mM4MoAVV6Zni9C75Qwcw%3D&xkcb=SoCj67M3sDTFOMg8-z0KbzkdCdPP&fccid=28bceaadc85cc59d&cmp=Radiant-Groups&ti=Data+Scientist&vjs=3,,,95,Data Scientist,From $77.12 an hour - Contract,"Comtec Information Systems
Plano, TX 75024",,"Data Scientist

Location: Plano, TX

12 months

Description:

o The team has been managing the Data Platform and Engineering Analytics for the past 3 years. They are now looking to backfill a position to support advanced use cases involving prediction, NLP, and AI/ML, particularly around: Customer retention/Revenue generation/Subscription analytics/Churn analysis/ Feature impact analysis

o The role is focused on Telematics use cases for Toyota and Lexus, especially on the subscription side—understanding customer behavior during trial periods and optimizing user experience.

Skills:

o 5 years in Data Science

o 2–3 years in AI/ML

o Hands-on coding (Python, SQL)

o Strong AWS experience (Azure/GCP not acceptable)

o Familiarity with Cloud Llama

o Nice to have: TensorFlow, PyTorch, Jupyter Notebooks, SageMaker

o Git, CI/CD pipeline

Soft Skills:

o Ability to analyze customer behavior and feature releases

o Strategic thinking for customer acquisition and retention

o Capable of walking through relevant use cases

Other Preferences:

o Prior Toyota experience is a plus

o Onsite preferred (100%), hybrid (3–4 days) acceptable

o Two rounds of interviews planned

Requirements:

What we’re looking for Skilled in forecasting and leading data science projects to leverage data to make better business decisions by delivering customer-centric insights. You will lead AI/ML efforts using an analytical mindset with critical thinking data skills

What you’ll be doing

o Expertise in Machine learning and Data Science

o Experience working with large datasets, finding insights, and telling stories using data.

o Understanding of advance ML topics viz. Deep learning (ENN, CNN, RNN, etc.), GAN, Transformers, NLP, LLM's is a plus.

o Experience with ELT, ETL processes using glue, glue brew transformations.

o Experience working with automotive data sets is preferred.

o Deep expertise in Data Science viz. data segmentation, churn analysis, repeat purchase, market basket, A/B testing, etc.

Qualifications/ What you bring (Must Haves) – Highlight Top 3-5 skills o Work on ad-hoc data science projects

o Strong technical skills in SQL, Python, R , or other programming languages commonly used in data analysis.

o Working knowledge of CI/CD and MLOps. (GIT, Docker)

o Good knowledge in working with distributed datastores (e.g., SQL, NoSQL ), and Big Data and Cloud technologies like GCP BQ Firebase snowflake redshift

o Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, TensorFlow, torch)

Added bonus if you have (Preferred): Understanding of model management framework and atleast 3 models as in Claude, LLAMA, Haiku, Gemma.

Job Type: Contract

Pay: $77.12 per hour

Application Question(s):

any experience on TensorFlow, PyTorch, Jupyter Notebooks, SageMaker
Can you work on w2 payroll?
NO SPONSORED CANDIDATES - Nature of Projects demands- only US CITIZENS or GREEN CARD at this time. Please confirm.""

Experience:

Data Scientist: 5 years (Required)
AI/ML: 2 years (Required)
Python: 3 years (Required)
SQL: 5 years (Required)
AWS: 1 year (Required)
Cloud Llama: 1 year (Required)
CI/CD: 1 year (Required)
Git: 1 year (Required)

Location:

Plano, TX 75024 (Required)

Ability to Commute:

Plano, TX 75024 (Required)

Work Location: In person"
Substance,https://indeed.com/rc/clk?jk=469fc63e7ec050f4&bb=DunzpjvOJANu5Bt_vpq-dWBhMsLBAsWAVJqpWsNL2onUgyK_oD1n1ndI6pjzDxSzJC1748rRVJXfnPlWPHfsZD7Dvf-cKoR0t2SlB4kngCH_tvtZGhiQWjXs7IYE1NpjZ2oc3o_iUcM%3D&xkcb=SoDE67M3sDTFOMg8-z0CbzkdCdPP&fccid=8acf1bf0da9eee22&vjs=3,,,95,Artificial Intelligence (AI) Engineers,Full-time,"Substance
4.3
4.3 out of 5 stars
Remote",,"We’re seeking a highly skilled AI Engineer. Our client within the technology space is offering innovative projects that solve real-world problems with AI. This role will provide opportunities to work with cutting-edge technologies and deliver impactful AI solutions.

Key Responsibilities:

Develop, train, and deploy machine learning (ML) and deep learning models to solve industry-specific challenges.
Design scalable data pipelines and preprocess datasets for training and inference.
Collaborate with cross-functional teams to integrate AI models into existing systems.
Research and implement state-of-the-art algorithms for areas like NLP, computer vision, predictive analytics, and generative AI.
Conduct error analysis and improve models to address bias, fairness, and explainability.
Document technical processes and results, ensuring knowledge sharing within teams.
What We’re Looking For:Technical Skills:

Proficiency in programming languages like Python, R, or Java.
Hands-on experience with AI frameworks such as TensorFlow, PyTorch, or scikit-learn.
Strong knowledge of data preprocessing, feature engineering, and model evaluation metrics.
Expertise in at least one domain:
Natural Language Processing (NLP)
Computer Vision
Reinforcement Learning
Generative AI (e.g., GPT, Stable Diffusion)
Familiarity with cloud platforms (e.g., AWS, Google Cloud, Azure) for model deployment.
Strong grasp of mathematics and statistics (e.g., linear algebra, probability, optimization).
Soft Skills:

Ability to explain complex AI concepts to non-technical stakeholders.
Strong problem-solving and critical-thinking skills.
Passion for continuous learning and staying updated with the latest AI trends.
Requirements:
Preferred Qualifications:

Bachelor's or Master’s degree in Computer Science, Artificial Intelligence, Data Science, or a related field.
Industry certifications in AI/ML (e.g., AWS AI/ML Certification, Coursera AI Specializations).
Previous experience in sectors like healthcare, finance, retail, or autonomous systems is a plus.
Benefits:

Exposure to international markets and the opportunity to work with a diverse team
Flexible remote working arrangements
Innovative environment
At Substance, we’re all about action, not just talk. If your profile aligns with what we need, you’ll hear from us within 1-2 weeks. If not, no fluff—just know we value your interest and will keep you in mind for future roles where your skills can make an impact. We focus on real connections and meaningful matches, so when the right opportunity comes, we’ll be ready to make it happen.
Getsubstance.co Pte. Ltd. | EA License No: 24C2398"
